consensus_tree_id,normalized_id,Plot,DBH,source,variant_1,variant_2,name_in_datasheets,name_in_trees_dbh,name_in_labels,name_in_flux_temp,name_in_flux_dimensions,name_in_soil_data,name_in_ddpcr_data,name_variants
BB7,bb7,Ridge,32,trees_dbh,BB7,NA,BB7,BB7,BB7,BB7,BB7,BB7,BB7,7
BB8,bb8,Ridge,22.5,trees_dbh,BB8,NA,BB8,BB8,BB8,BB8,BB8,BB8,BB8,7
BB9,bb9,Ridge,34,trees_dbh,BB9,NA,BB9,BB9,BB9,BB9,BB9,BB9,BB9,7
BC2,bc2,Ridge,31,trees_dbh,BC2,NA,BC2,BC2,BC2,BC2,BC2,BC2,BC2,7
Bowser dead red oak,bowser,Ridge,44.5,datasheets,Bowser dead red oak,BOWSER,Bowser dead red oak,NA,NA,Bowser dead red oak,Bowser dead red oak,NA,BOWSER,4
H101,h101,Ridge,23,datasheets,H101,NA,H101,NA,NA,H101,H101,H101,H101,5
H102,h102,Ridge,28,datasheets,H102,NA,H102,NA,NA,H102,H102,H102,H102,5
H103,h103,Ridge,65,datasheets,H103,NA,H103,NA,NA,H103,H103,H103,H103,5
H104,h104,Ridge,22.5,datasheets,H104,NA,H104,NA,NA,H104,H104,H104,H104,5
H301,h301,Ridge,31,datasheets,H301,NA,H301,NA,NA,H301,H301,H301,H301,5
MLGP,mlgp,Ridge,6.5,datasheets,MLGP,NA,MLGP,NA,NA,NA,MLGP,MLGP,MLGP,4
RM105,rm105,Ridge,41,datasheets,RM105,NA,RM105,NA,NA,RM105,RM105,NA,NA,3
RM301,rm301,Ridge,21,datasheets,RM301,NA,RM301,NA,NA,RM301,RM301,RM301,NA,4
RM302,rm302,Ridge,27.2,datasheets,RM302,NA,RM302,NA,NA,RM302,RM302,RM302,RM302,5
RM303,rm303,Ridge,23.5,datasheets,RM303,NA,RM303,NA,NA,RM303,RM303,RM303,RM303,5
RM304,rm304,Ridge,22.6,datasheets,RM304,NA,RM304,NA,NA,RM304,RM304,RM304,RM304,5
RO101,ro101,Ridge,39,datasheets,RO101,NA,RO101,NA,NA,RO101,RO101,RO101,RO101,5
RO102,ro102,Ridge,47,datasheets,RO102,NA,RO102,NA,NA,RO102,RO102,RO102,RO102,5
RO103,ro103,Ridge,34,datasheets,RO103,NA,RO103,NA,NA,RO103,RO103,RO103,RO103,5
RO104,ro104,Ridge,26.5,datasheets,RO104,NA,RO104,NA,NA,RO104,RO104,RO104,RO104,5
RO17,ro17,Ridge,35,trees_dbh,RO17,NA,NA,RO17,RO17,NA,NA,NA,NA,2
RO18,ro18,Ridge,42,trees_dbh,RO18,NA,NA,RO18,RO18,NA,NA,NA,NA,2
SMR1,smr1,Ridge,41,trees_dbh,SMR1,NA,NA,SMR1,SMR1,NA,NA,NA,NA,2
Untagged,untagged,Ridge,21,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,28,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,23.5,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,24,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,29,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,41.5,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,42.5,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,50.5,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,35.5,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,27,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,45,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,68.5,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,46,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,23,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,33.5,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,35,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
Untagged,untagged,Ridge,68,trees_dbh,Untagged,NA,NA,Untagged,Untagged,NA,NA,NA,NA,4
