"pathway","p","t","FDR","description","gene","compartment"
"1CMET2-PWY",NA,NA,NA,"N10-formyl-tetrahydrofolate biosynthesis","pmoA","Heartwood"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",NA,NA,NA,"4-hydroxyphenylacetate degradation","pmoA","Heartwood"
"ALL-CHORISMATE-PWY",NA,NA,NA,"superpathway of chorismate metabolism","pmoA","Heartwood"
"ANAEROFRUCAT-PWY",NA,NA,NA,"homolactic fermentation","pmoA","Heartwood"
"ANAGLYCOLYSIS-PWY",NA,NA,NA,"glycolysis III (from glucose)","pmoA","Heartwood"
"ARG+POLYAMINE-SYN",NA,NA,NA,"superpathway of arginine and polyamine biosynthesis","pmoA","Heartwood"
"ARGDEG-PWY",NA,NA,NA,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","pmoA","Heartwood"
"ARGORNPROST-PWY",NA,NA,NA,"arginine, ornithine and proline interconversion","pmoA","Heartwood"
"ARGSYN-PWY",NA,NA,NA,"L-arginine biosynthesis I (via L-ornithine)","pmoA","Heartwood"
"ARGSYNBSUB-PWY",NA,NA,NA,"L-arginine biosynthesis II (acetyl cycle)","pmoA","Heartwood"
"ARO-PWY",NA,NA,NA,"chorismate biosynthesis I","pmoA","Heartwood"
"ASPASN-PWY",NA,NA,NA,"superpathway of L-aspartate and L-asparagine biosynthesis","pmoA","Heartwood"
"AST-PWY",NA,NA,NA,"L-arginine degradation II (AST pathway)","pmoA","Heartwood"
"BIOTIN-BIOSYNTHESIS-PWY",NA,NA,NA,"biotin biosynthesis I","pmoA","Heartwood"
"BRANCHED-CHAIN-AA-SYN-PWY",NA,NA,NA,"superpathway of branched amino acid biosynthesis","pmoA","Heartwood"
"CALVIN-PWY",NA,NA,NA,"Calvin-Benson-Bassham cycle","pmoA","Heartwood"
"CATECHOL-ORTHO-CLEAVAGE-PWY",NA,NA,NA,"catechol degradation to &beta;-ketoadipate","pmoA","Heartwood"
"CHLOROPHYLL-SYN",NA,NA,NA,"chlorophyllide a biosynthesis I (aerobic, light-dependent)","pmoA","Heartwood"
"COA-PWY",NA,NA,NA,"coenzyme A biosynthesis I","pmoA","Heartwood"
"COBALSYN-PWY",NA,NA,NA,"adenosylcobalamin salvage from cobinamide I","pmoA","Heartwood"
"COLANSYN-PWY",NA,NA,NA,"colanic acid building blocks biosynthesis","pmoA","Heartwood"
"COMPLETE-ARO-PWY",NA,NA,NA,"superpathway of aromatic amino acid biosynthesis","pmoA","Heartwood"
"CRNFORCAT-PWY",NA,NA,NA,"creatinine degradation I","pmoA","Heartwood"
"DAPLYSINESYN-PWY",NA,NA,NA,"L-lysine biosynthesis I","pmoA","Heartwood"
"DENITRIFICATION-PWY",NA,NA,NA,"nitrate reduction I (denitrification)","pmoA","Heartwood"
"DENOVOPURINE2-PWY",NA,NA,NA,"superpathway of purine nucleotides de novo biosynthesis II","pmoA","Heartwood"
"DHGLUCONATE-PYR-CAT-PWY",NA,NA,NA,"glucose degradation (oxidative)","pmoA","Heartwood"
"DTDPRHAMSYN-PWY",NA,NA,NA,"dTDP-L-rhamnose biosynthesis I","pmoA","Heartwood"
"ECASYN-PWY",NA,NA,NA,"enterobacterial common antigen biosynthesis","pmoA","Heartwood"
"ENTBACSYN-PWY",NA,NA,NA,"enterobactin biosynthesis","pmoA","Heartwood"
"FAO-PWY",NA,NA,NA,"fatty acid &beta;-oxidation I","pmoA","Heartwood"
"FASYN-ELONG-PWY",NA,NA,NA,"fatty acid elongation -- saturated","pmoA","Heartwood"
"FASYN-INITIAL-PWY",NA,NA,NA,"superpathway of fatty acid biosynthesis initiation (E. coli)","pmoA","Heartwood"
"FERMENTATION-PWY",NA,NA,NA,"mixed acid fermentation","pmoA","Heartwood"
"FOLSYN-PWY",NA,NA,NA,"superpathway of tetrahydrofolate biosynthesis and salvage","pmoA","Heartwood"
"FUC-RHAMCAT-PWY",NA,NA,NA,"superpathway of fucose and rhamnose degradation","pmoA","Heartwood"
"FUCCAT-PWY",NA,NA,NA,"fucose degradation","pmoA","Heartwood"
"GALACT-GLUCUROCAT-PWY",NA,NA,NA,"superpathway of hexuronide and hexuronate degradation","pmoA","Heartwood"
"GALACTARDEG-PWY",NA,NA,NA,"D-galactarate degradation I","pmoA","Heartwood"
"GALACTUROCAT-PWY",NA,NA,NA,"D-galacturonate degradation I","pmoA","Heartwood"
"GALLATE-DEGRADATION-I-PWY",NA,NA,NA,"gallate degradation II","pmoA","Heartwood"
"GLCMANNANAUT-PWY",NA,NA,NA,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","pmoA","Heartwood"
"GLUCARDEG-PWY",NA,NA,NA,"D-glucarate degradation I","pmoA","Heartwood"
"GLUCARGALACTSUPER-PWY",NA,NA,NA,"superpathway of D-glucarate and D-galactarate degradation","pmoA","Heartwood"
"GLUCONEO-PWY",NA,NA,NA,"gluconeogenesis I","pmoA","Heartwood"
"GLUCOSE1PMETAB-PWY",NA,NA,NA,"glucose and glucose-1-phosphate degradation","pmoA","Heartwood"
"GLUCUROCAT-PWY",NA,NA,NA,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation","pmoA","Heartwood"
"GLUTORN-PWY",NA,NA,NA,"L-ornithine biosynthesis","pmoA","Heartwood"
"GLYCOCAT-PWY",NA,NA,NA,"glycogen degradation I (bacterial)","pmoA","Heartwood"
"GLYCOGENSYNTH-PWY",NA,NA,NA,"glycogen biosynthesis I (from ADP-D-Glucose)","pmoA","Heartwood"
"GLYCOL-GLYOXDEG-PWY",NA,NA,NA,"superpathway of glycol metabolism and degradation","pmoA","Heartwood"
"GLYCOLYSIS",NA,NA,NA,"glycolysis I (from glucose 6-phosphate)","pmoA","Heartwood"
"GLYCOLYSIS-E-D",NA,NA,NA,"superpathway of glycolysis and Entner-Doudoroff","pmoA","Heartwood"
"GLYCOLYSIS-TCA-GLYOX-BYPASS",NA,NA,NA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","pmoA","Heartwood"
"GLYOXYLATE-BYPASS",NA,NA,NA,"glyoxylate cycle","pmoA","Heartwood"
"GOLPDLCAT-PWY",NA,NA,NA,"superpathway of glycerol degradation to 1,3-propanediol","pmoA","Heartwood"
"HCAMHPDEG-PWY",NA,NA,NA,"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate","pmoA","Heartwood"
"HEME-BIOSYNTHESIS-II",NA,NA,NA,"heme biosynthesis I (aerobic)","pmoA","Heartwood"
"HEMESYN2-PWY",NA,NA,NA,"heme biosynthesis II (anaerobic)","pmoA","Heartwood"
"HEXITOLDEGSUPER-PWY",NA,NA,NA,"superpathway of hexitol degradation (bacteria)","pmoA","Heartwood"
"HISDEG-PWY",NA,NA,NA,"L-histidine degradation I","pmoA","Heartwood"
"HISTSYN-PWY",NA,NA,NA,"L-histidine biosynthesis","pmoA","Heartwood"
"HOMOSER-METSYN-PWY",NA,NA,NA,"L-methionine biosynthesis I","pmoA","Heartwood"
"HSERMETANA-PWY",NA,NA,NA,"L-methionine biosynthesis III","pmoA","Heartwood"
"ILEUSYN-PWY",NA,NA,NA,"L-isoleucine biosynthesis I (from threonine)","pmoA","Heartwood"
"KDO-NAGLIPASYN-PWY",NA,NA,NA,"superpathway of (Kdo)2-lipid A biosynthesis","pmoA","Heartwood"
"KETOGLUCONMET-PWY",NA,NA,NA,"ketogluconate metabolism","pmoA","Heartwood"
"LACTOSECAT-PWY",NA,NA,NA,"lactose and galactose degradation I","pmoA","Heartwood"
"LEU-DEG2-PWY",NA,NA,NA,"L-leucine degradation I","pmoA","Heartwood"
"LPSSYN-PWY",NA,NA,NA,"superpathway of lipopolysaccharide biosynthesis","pmoA","Heartwood"
"MET-SAM-PWY",NA,NA,NA,"superpathway of S-adenosyl-L-methionine biosynthesis","pmoA","Heartwood"
"METHGLYUT-PWY",NA,NA,NA,"superpathway of methylglyoxal degradation","pmoA","Heartwood"
"METHYLGALLATE-DEGRADATION-PWY",NA,NA,NA,"methylgallate degradation","pmoA","Heartwood"
"NAD-BIOSYNTHESIS-II",NA,NA,NA,"NAD salvage pathway II","pmoA","Heartwood"
"NADSYN-PWY",NA,NA,NA,"NAD biosynthesis II (from tryptophan)","pmoA","Heartwood"
"NAGLIPASYN-PWY",NA,NA,NA,"lipid IVA biosynthesis","pmoA","Heartwood"
"NONMEVIPP-PWY",NA,NA,NA,"methylerythritol phosphate pathway I","pmoA","Heartwood"
"NONOXIPENT-PWY",NA,NA,NA,"pentose phosphate pathway (non-oxidative branch)","pmoA","Heartwood"
"OANTIGEN-PWY",NA,NA,NA,"O-antigen building blocks biosynthesis (E. coli)","pmoA","Heartwood"
"ORNARGDEG-PWY",NA,NA,NA,"superpathway of L-arginine and L-ornithine degradation","pmoA","Heartwood"
"ORNDEG-PWY",NA,NA,NA,"superpathway of ornithine degradation","pmoA","Heartwood"
"P101-PWY",NA,NA,NA,"ectoine biosynthesis","pmoA","Heartwood"
"P105-PWY",NA,NA,NA,"TCA cycle IV (2-oxoglutarate decarboxylase)","pmoA","Heartwood"
"P108-PWY",NA,NA,NA,"pyruvate fermentation to propanoate I","pmoA","Heartwood"
"P122-PWY",NA,NA,NA,"heterolactic fermentation","pmoA","Heartwood"
"P124-PWY",NA,NA,NA,"Bifidobacterium shunt","pmoA","Heartwood"
"P125-PWY",NA,NA,NA,"superpathway of (R,R)-butanediol biosynthesis","pmoA","Heartwood"
"P161-PWY",NA,NA,NA,"acetylene degradation","pmoA","Heartwood"
"P163-PWY",NA,NA,NA,"L-lysine fermentation to acetate and butanoate","pmoA","Heartwood"
"P164-PWY",NA,NA,NA,"purine nucleobases degradation I (anaerobic)","pmoA","Heartwood"
"P184-PWY",NA,NA,NA,"protocatechuate degradation I (meta-cleavage pathway)","pmoA","Heartwood"
"P221-PWY",NA,NA,NA,"octane oxidation","pmoA","Heartwood"
"P23-PWY",NA,NA,NA,"reductive TCA cycle I","pmoA","Heartwood"
"P261-PWY",NA,NA,NA,"coenzyme M biosynthesis I","pmoA","Heartwood"
"P281-PWY",NA,NA,NA,"3-phenylpropanoate degradation","pmoA","Heartwood"
"P4-PWY",NA,NA,NA,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","pmoA","Heartwood"
"P42-PWY",NA,NA,NA,"incomplete reductive TCA cycle","pmoA","Heartwood"
"P441-PWY",NA,NA,NA,"superpathway of N-acetylneuraminate degradation","pmoA","Heartwood"
"P461-PWY",NA,NA,NA,"hexitol fermentation to lactate, formate, ethanol and acetate","pmoA","Heartwood"
"P562-PWY",NA,NA,NA,"myo-inositol degradation I","pmoA","Heartwood"
"P621-PWY",NA,NA,NA,"nylon-6 oligomer degradation","pmoA","Heartwood"
"PANTO-PWY",NA,NA,NA,"phosphopantothenate biosynthesis I","pmoA","Heartwood"
"PANTOSYN-PWY",NA,NA,NA,"pantothenate and coenzyme A biosynthesis I","pmoA","Heartwood"
"PENTOSE-P-PWY",NA,NA,NA,"pentose phosphate pathway","pmoA","Heartwood"
"PEPTIDOGLYCANSYN-PWY",NA,NA,NA,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","pmoA","Heartwood"
"PHOSLIPSYN-PWY",NA,NA,NA,"superpathway of phospholipid biosynthesis I (bacteria)","pmoA","Heartwood"
"POLYAMINSYN3-PWY",NA,NA,NA,"superpathway of polyamine biosynthesis II","pmoA","Heartwood"
"POLYAMSYN-PWY",NA,NA,NA,"superpathway of polyamine biosynthesis I","pmoA","Heartwood"
"POLYISOPRENSYN-PWY",NA,NA,NA,"polyisoprenoid biosynthesis (E. coli)","pmoA","Heartwood"
"PPGPPMET-PWY",NA,NA,NA,"ppGpp biosynthesis","pmoA","Heartwood"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",NA,NA,NA,"protocatechuate degradation II (ortho-cleavage pathway)","pmoA","Heartwood"
"PRPP-PWY",NA,NA,NA,"superpathway of histidine, purine, and pyrimidine biosynthesis","pmoA","Heartwood"
"PWY-1269",NA,NA,NA,"CMP-3-deoxy-D-manno-octulosonate biosynthesis I","pmoA","Heartwood"
"PWY-1501",NA,NA,NA,"mandelate degradation I","pmoA","Heartwood"
"PWY-1622",NA,NA,NA,"formaldehyde assimilation I (serine pathway)","pmoA","Heartwood"
"PWY-181",NA,NA,NA,"photorespiration","pmoA","Heartwood"
"PWY-1861",NA,NA,NA,"formaldehyde assimilation II (RuMP Cycle)","pmoA","Heartwood"
"PWY-1882",NA,NA,NA,"superpathway of C1 compounds oxidation to CO2","pmoA","Heartwood"
"PWY-2942",NA,NA,NA,"L-lysine biosynthesis III","pmoA","Heartwood"
"PWY-3001",NA,NA,NA,"superpathway of L-isoleucine biosynthesis I","pmoA","Heartwood"
"PWY-3661",NA,NA,NA,"glycine betaine degradation I","pmoA","Heartwood"
"PWY-3781",NA,NA,NA,"aerobic respiration I (cytochrome c)","pmoA","Heartwood"
"PWY-3801",NA,NA,NA,"sucrose degradation II (sucrose synthase)","pmoA","Heartwood"
"PWY-4984",NA,NA,NA,"urea cycle","pmoA","Heartwood"
"PWY-5005",NA,NA,NA,"biotin biosynthesis II","pmoA","Heartwood"
"PWY-5022",NA,NA,NA,"4-aminobutanoate degradation V","pmoA","Heartwood"
"PWY-5028",NA,NA,NA,"L-histidine degradation II","pmoA","Heartwood"
"PWY-5088",NA,NA,NA,"L-glutamate degradation VIII (to propanoate)","pmoA","Heartwood"
"PWY-5097",NA,NA,NA,"L-lysine biosynthesis VI","pmoA","Heartwood"
"PWY-5100",NA,NA,NA,"pyruvate fermentation to acetate and lactate II","pmoA","Heartwood"
"PWY-5101",NA,NA,NA,"L-isoleucine biosynthesis II","pmoA","Heartwood"
"PWY-5103",NA,NA,NA,"L-isoleucine biosynthesis III","pmoA","Heartwood"
"PWY-5104",NA,NA,NA,"L-isoleucine biosynthesis IV","pmoA","Heartwood"
"PWY-5121",NA,NA,NA,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","pmoA","Heartwood"
"PWY-5154",NA,NA,NA,"L-arginine biosynthesis III (via N-acetyl-L-citrulline)","pmoA","Heartwood"
"PWY-5178",NA,NA,NA,"toluene degradation IV (aerobic) (via catechol)","pmoA","Heartwood"
"PWY-5180",NA,NA,NA,"toluene degradation I (aerobic) (via o-cresol)","pmoA","Heartwood"
"PWY-5181",NA,NA,NA,"toluene degradation III (aerobic) (via p-cresol)","pmoA","Heartwood"
"PWY-5182",NA,NA,NA,"toluene degradation II (aerobic) (via 4-methylcatechol)","pmoA","Heartwood"
"PWY-5188",NA,NA,NA,"tetrapyrrole biosynthesis I (from glutamate)","pmoA","Heartwood"
"PWY-5189",NA,NA,NA,"tetrapyrrole biosynthesis II (from glycine)","pmoA","Heartwood"
"PWY-5304",NA,NA,NA,"superpathway of sulfur oxidation (Acidianus ambivalens)","pmoA","Heartwood"
"PWY-5345",NA,NA,NA,"superpathway of L-methionine biosynthesis (by sulfhydrylation)","pmoA","Heartwood"
"PWY-5347",NA,NA,NA,"superpathway of L-methionine biosynthesis (transsulfuration)","pmoA","Heartwood"
"PWY-5384",NA,NA,NA,"sucrose degradation IV (sucrose phosphorylase)","pmoA","Heartwood"
"PWY-5392",NA,NA,NA,"reductive TCA cycle II","pmoA","Heartwood"
"PWY-5415",NA,NA,NA,"catechol degradation I (meta-cleavage pathway)","pmoA","Heartwood"
"PWY-5417",NA,NA,NA,"catechol degradation III (ortho-cleavage pathway)","pmoA","Heartwood"
"PWY-5419",NA,NA,NA,"catechol degradation to 2-oxopent-4-enoate II","pmoA","Heartwood"
"PWY-5420",NA,NA,NA,"catechol degradation II (meta-cleavage pathway)","pmoA","Heartwood"
"PWY-5430",NA,NA,NA,"meta cleavage pathway of aromatic compounds","pmoA","Heartwood"
"PWY-5431",NA,NA,NA,"aromatic compounds degradation via &beta;-ketoadipate","pmoA","Heartwood"
"PWY-5484",NA,NA,NA,"glycolysis II (from fructose 6-phosphate)","pmoA","Heartwood"
"PWY-5505",NA,NA,NA,"L-glutamate and L-glutamine biosynthesis","pmoA","Heartwood"
"PWY-5509",NA,NA,NA,"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","pmoA","Heartwood"
"PWY-5529",NA,NA,NA,"superpathway of bacteriochlorophyll a biosynthesis","pmoA","Heartwood"
"PWY-5531",NA,NA,NA,"chlorophyllide a biosynthesis II (anaerobic)","pmoA","Heartwood"
"PWY-5651",NA,NA,NA,"L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde","pmoA","Heartwood"
"PWY-5654",NA,NA,NA,"2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate","pmoA","Heartwood"
"PWY-5659",NA,NA,NA,"GDP-mannose biosynthesis","pmoA","Heartwood"
"PWY-5667",NA,NA,NA,"CDP-diacylglycerol biosynthesis I","pmoA","Heartwood"
"PWY-5676",NA,NA,NA,"acetyl-CoA fermentation to butanoate II","pmoA","Heartwood"
"PWY-5686",NA,NA,NA,"UMP biosynthesis","pmoA","Heartwood"
"PWY-5695",NA,NA,NA,"urate biosynthesis/inosine 5'-phosphate degradation","pmoA","Heartwood"
"PWY-5705",NA,NA,NA,"allantoin degradation to glyoxylate III","pmoA","Heartwood"
"PWY-5741",NA,NA,NA,"ethylmalonyl-CoA pathway","pmoA","Heartwood"
"PWY-5747",NA,NA,NA,"2-methylcitrate cycle II","pmoA","Heartwood"
"PWY-5837",NA,NA,NA,"1,4-dihydroxy-2-naphthoate biosynthesis I","pmoA","Heartwood"
"PWY-5838",NA,NA,NA,"superpathway of menaquinol-8 biosynthesis I","pmoA","Heartwood"
"PWY-5840",NA,NA,NA,"superpathway of menaquinol-7 biosynthesis","pmoA","Heartwood"
"PWY-5845",NA,NA,NA,"superpathway of menaquinol-9 biosynthesis","pmoA","Heartwood"
"PWY-5850",NA,NA,NA,"superpathway of menaquinol-6 biosynthesis I","pmoA","Heartwood"
"PWY-5855",NA,NA,NA,"ubiquinol-7 biosynthesis (prokaryotic)","pmoA","Heartwood"
"PWY-5856",NA,NA,NA,"ubiquinol-9 biosynthesis (prokaryotic)","pmoA","Heartwood"
"PWY-5857",NA,NA,NA,"ubiquinol-10 biosynthesis (prokaryotic)","pmoA","Heartwood"
"PWY-5860",NA,NA,NA,"superpathway of demethylmenaquinol-6 biosynthesis I","pmoA","Heartwood"
"PWY-5861",NA,NA,NA,"superpathway of demethylmenaquinol-8 biosynthesis","pmoA","Heartwood"
"PWY-5862",NA,NA,NA,"superpathway of demethylmenaquinol-9 biosynthesis","pmoA","Heartwood"
"PWY-5863",NA,NA,NA,"superpathway of phylloquinol biosynthesis","pmoA","Heartwood"
"PWY-5896",NA,NA,NA,"superpathway of menaquinol-10 biosynthesis","pmoA","Heartwood"
"PWY-5897",NA,NA,NA,"superpathway of menaquinol-11 biosynthesis","pmoA","Heartwood"
"PWY-5898",NA,NA,NA,"superpathway of menaquinol-12 biosynthesis","pmoA","Heartwood"
"PWY-5899",NA,NA,NA,"superpathway of menaquinol-13 biosynthesis","pmoA","Heartwood"
"PWY-5910",NA,NA,NA,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","pmoA","Heartwood"
"PWY-5913",NA,NA,NA,"TCA cycle VI (obligate autotrophs)","pmoA","Heartwood"
"PWY-5918",NA,NA,NA,"superpathay of heme biosynthesis from glutamate","pmoA","Heartwood"
"PWY-5920",NA,NA,NA,"superpathway of heme biosynthesis from glycine","pmoA","Heartwood"
"PWY-5941",NA,NA,NA,"glycogen degradation II (eukaryotic)","pmoA","Heartwood"
"PWY-5971",NA,NA,NA,"palmitate biosynthesis II (bacteria and plants)","pmoA","Heartwood"
"PWY-5973",NA,NA,NA,"cis-vaccenate biosynthesis","pmoA","Heartwood"
"PWY-5989",NA,NA,NA,"stearate biosynthesis II (bacteria and plants)","pmoA","Heartwood"
"PWY-6071",NA,NA,NA,"superpathway of phenylethylamine degradation","pmoA","Heartwood"
"PWY-6121",NA,NA,NA,"5-aminoimidazole ribonucleotide biosynthesis I","pmoA","Heartwood"
"PWY-6122",NA,NA,NA,"5-aminoimidazole ribonucleotide biosynthesis II","pmoA","Heartwood"
"PWY-6123",NA,NA,NA,"inosine-5'-phosphate biosynthesis I","pmoA","Heartwood"
"PWY-6125",NA,NA,NA,"superpathway of guanosine nucleotides de novo biosynthesis II","pmoA","Heartwood"
"PWY-6126",NA,NA,NA,"superpathway of adenosine nucleotides de novo biosynthesis II","pmoA","Heartwood"
"PWY-6147",NA,NA,NA,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","pmoA","Heartwood"
"PWY-6151",NA,NA,NA,"S-adenosyl-L-methionine cycle I","pmoA","Heartwood"
"PWY-6163",NA,NA,NA,"chorismate biosynthesis from 3-dehydroquinate","pmoA","Heartwood"
"PWY-6182",NA,NA,NA,"superpathway of salicylate degradation","pmoA","Heartwood"
"PWY-6185",NA,NA,NA,"4-methylcatechol degradation (ortho cleavage)","pmoA","Heartwood"
"PWY-621",NA,NA,NA,"sucrose degradation III (sucrose invertase)","pmoA","Heartwood"
"PWY-6263",NA,NA,NA,"superpathway of menaquinol-8 biosynthesis II","pmoA","Heartwood"
"PWY-6269",NA,NA,NA,"adenosylcobalamin salvage from cobinamide II","pmoA","Heartwood"
"PWY-6277",NA,NA,NA,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","pmoA","Heartwood"
"PWY-6282",NA,NA,NA,"palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","pmoA","Heartwood"
"PWY-6317",NA,NA,NA,"galactose degradation I (Leloir pathway)","pmoA","Heartwood"
"PWY-6353",NA,NA,NA,"purine nucleotides degradation II (aerobic)","pmoA","Heartwood"
"PWY-6383",NA,NA,NA,"mono-trans, poly-cis decaprenyl phosphate biosynthesis","pmoA","Heartwood"
"PWY-6385",NA,NA,NA,"peptidoglycan biosynthesis III (mycobacteria)","pmoA","Heartwood"
"PWY-6386",NA,NA,NA,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","pmoA","Heartwood"
"PWY-6387",NA,NA,NA,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","pmoA","Heartwood"
"PWY-6396",NA,NA,NA,"superpathway of 2,3-butanediol biosynthesis","pmoA","Heartwood"
"PWY-6397",NA,NA,NA,"mycolyl-arabinogalactan-peptidoglycan complex biosynthesis","pmoA","Heartwood"
"PWY-6467",NA,NA,NA,"Kdo transfer to lipid IVA III (Chlamydia)","pmoA","Heartwood"
"PWY-6470",NA,NA,NA,"peptidoglycan biosynthesis V (&beta;-lactam resistance)","pmoA","Heartwood"
"PWY-6471",NA,NA,NA,"peptidoglycan biosynthesis IV (Enterococcus faecium)","pmoA","Heartwood"
"PWY-6478",NA,NA,NA,"GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis","pmoA","Heartwood"
"PWY-6507",NA,NA,NA,"4-deoxy-L-threo-hex-4-enopyranuronate degradation","pmoA","Heartwood"
"PWY-6519",NA,NA,NA,"8-amino-7-oxononanoate biosynthesis I","pmoA","Heartwood"
"PWY-6545",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis III","pmoA","Heartwood"
"PWY-6562",NA,NA,NA,"norspermidine biosynthesis","pmoA","Heartwood"
"PWY-6588",NA,NA,NA,"pyruvate fermentation to acetone","pmoA","Heartwood"
"PWY-6608",NA,NA,NA,"guanosine nucleotides degradation III","pmoA","Heartwood"
"PWY-6609",NA,NA,NA,"adenine and adenosine salvage III","pmoA","Heartwood"
"PWY-6612",NA,NA,NA,"superpathway of tetrahydrofolate biosynthesis","pmoA","Heartwood"
"PWY-6628",NA,NA,NA,"superpathway of L-phenylalanine biosynthesis","pmoA","Heartwood"
"PWY-6629",NA,NA,NA,"superpathway of L-tryptophan biosynthesis","pmoA","Heartwood"
"PWY-6630",NA,NA,NA,"superpathway of L-tyrosine biosynthesis","pmoA","Heartwood"
"PWY-6641",NA,NA,NA,"superpathway of sulfolactate degradation","pmoA","Heartwood"
"PWY-6660",NA,NA,NA,"2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","pmoA","Heartwood"
"PWY-6662",NA,NA,NA,"superpathway of quinolone and alkylquinolone biosynthesis","pmoA","Heartwood"
"PWY-6690",NA,NA,NA,"cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate","pmoA","Heartwood"
"PWY-6700",NA,NA,NA,"queuosine biosynthesis","pmoA","Heartwood"
"PWY-6703",NA,NA,NA,"preQ0 biosynthesis","pmoA","Heartwood"
"PWY-6708",NA,NA,NA,"ubiquinol-8 biosynthesis (prokaryotic)","pmoA","Heartwood"
"PWY-6713",NA,NA,NA,"L-rhamnose degradation II","pmoA","Heartwood"
"PWY-6728",NA,NA,NA,"methylaspartate cycle","pmoA","Heartwood"
"PWY-6737",NA,NA,NA,"starch degradation V","pmoA","Heartwood"
"PWY-6876",NA,NA,NA,"isopropanol biosynthesis","pmoA","Heartwood"
"PWY-6891",NA,NA,NA,"thiazole biosynthesis II (Bacillus)","pmoA","Heartwood"
"PWY-6892",NA,NA,NA,"thiazole biosynthesis I (E. coli)","pmoA","Heartwood"
"PWY-6895",NA,NA,NA,"superpathway of thiamin diphosphate biosynthesis II","pmoA","Heartwood"
"PWY-6897",NA,NA,NA,"thiamin salvage II","pmoA","Heartwood"
"PWY-6901",NA,NA,NA,"superpathway of glucose and xylose degradation","pmoA","Heartwood"
"PWY-6944",NA,NA,NA,"androstenedione degradation","pmoA","Heartwood"
"PWY-6969",NA,NA,NA,"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","pmoA","Heartwood"
"PWY-7003",NA,NA,NA,"glycerol degradation to butanol","pmoA","Heartwood"
"PWY-7007",NA,NA,NA,"methyl ketone biosynthesis","pmoA","Heartwood"
"PWY-7090",NA,NA,NA,"UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis","pmoA","Heartwood"
"PWY-7094",NA,NA,NA,"fatty acid salvage","pmoA","Heartwood"
"PWY-7111",NA,NA,NA,"pyruvate fermentation to isobutanol (engineered)","pmoA","Heartwood"
"PWY-7159",NA,NA,NA,"chlorophyllide a biosynthesis III (aerobic, light independent)","pmoA","Heartwood"
"PWY-7184",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis I","pmoA","Heartwood"
"PWY-7187",NA,NA,NA,"pyrimidine deoxyribonucleotides de novo biosynthesis II","pmoA","Heartwood"
"PWY-7196",NA,NA,NA,"superpathway of pyrimidine ribonucleosides salvage","pmoA","Heartwood"
"PWY-7197",NA,NA,NA,"pyrimidine deoxyribonucleotide phosphorylation","pmoA","Heartwood"
"PWY-7199",NA,NA,NA,"pyrimidine deoxyribonucleosides salvage","pmoA","Heartwood"
"PWY-7200",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleoside salvage","pmoA","Heartwood"
"PWY-7208",NA,NA,NA,"superpathway of pyrimidine nucleobases salvage","pmoA","Heartwood"
"PWY-7211",NA,NA,NA,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","pmoA","Heartwood"
"PWY-7219",NA,NA,NA,"adenosine ribonucleotides de novo biosynthesis","pmoA","Heartwood"
"PWY-7220",NA,NA,NA,"adenosine deoxyribonucleotides de novo biosynthesis II","pmoA","Heartwood"
"PWY-7221",NA,NA,NA,"guanosine ribonucleotides de novo biosynthesis","pmoA","Heartwood"
"PWY-7222",NA,NA,NA,"guanosine deoxyribonucleotides de novo biosynthesis II","pmoA","Heartwood"
"PWY-7228",NA,NA,NA,"superpathway of guanosine nucleotides de novo biosynthesis I","pmoA","Heartwood"
"PWY-7229",NA,NA,NA,"superpathway of adenosine nucleotides de novo biosynthesis I","pmoA","Heartwood"
