Sample ID,Well,16S_per_ul,core_type,seq_id_raw,seq_id,Material
RM304Inner,H09,148,Inner,RM304,RM304,Wood
SM10Inner,H10,31223,Inner,SM10,SM10,Wood
SM5Inner,H11,1,Inner,SM5,SM5,Wood
YB11Inner,H12,470,Inner,YB11,YB11,Wood
YB11primeInner,A01,15,Inner,YB11prime,YB11',Wood
YB5Inner,A02,445,Inner,YB5,YB5,Wood
BB12Inner,A03,690,Inner,BB12,BB12,Wood
BB7Inner,A04,387,Inner,BB7,BB7,Wood
PB2Inner,A05,1393,Inner,PB2,PB2,Wood
AB11Inner,A06,2,Inner,AB11,AB11,Wood
AB6Inner,A07,3,Inner,AB6,AB6,Wood
WA102Inner,A08,5,Inner,WA102,WA102,Wood
WA5Inner,A09,474,Inner,WA5,WA5,Wood
WP3Inner,A10,77,Inner,WP3,WP3,Wood
WP8Inner,A11,6,Inner,WP8,WP8,Wood
BC2Inner,A12,13,Inner,BC2,BC2,Wood
None,B01,NA,None,NA,NA,Wood
YB9Inner44c,B02,82850,er44c,YB9Inn,YB9,Wood
BB13Inner,B03,3,Inner,BB13,BB13,Wood
BB8Inner,B04,3591,Inner,BB8,BB8,Wood
PB3Inner,B05,497,Inner,PB3,PB3,Wood
AB2Inner,B06,11692,Inner,AB2,AB2,Wood
AB6primeInner,B07,642,Inner,AB6prime,AB6',Wood
WA103Inner,B08,4,Inner,WA103,WA103,Wood
WAX1Inner,B09,7,Inner,WAX1,WAX1,Wood
WP4Inner,B10,6,Inner,WP4,WP4,Wood
WP9Inner,B11,6640,Inner,WP9,WP9,Wood
BC4Inner,B12,7,Inner,BC4,BC4,Wood
YB13Inner,C01,8,Inner,YB13,YB13,Wood
YB9Inner45c,C02,86706,er45c,YB9Inn,YB9,Wood
BB14Inner,C03,727,Inner,BB14,BB14,Wood
BB9Inner,C04,19,Inner,BB9,BB9,Wood
PB4Inner,C05,61906,Inner,PB4,PB4,Wood
AB3Inner,C06,17321,Inner,AB3,AB3,Wood
AB9Inner,C07,2,Inner,AB9,AB9,Wood
WA103starInner,C08,158,Inner,WA103star,WA103*,Wood
ML2Inner,C09,1509,Inner,ML2,ML2,Wood
None,C10,NA,None,NA,NA,Wood
WPBERENICEInner,C11,12924,Inner,WPBERENICE,WPBERENICE,Wood
WO1Inner,C12,1,Inner,WO1,WO1,Wood
None,D01,NA,None,NA,NA,Wood
None,D02,NA,None,NA,NA,Wood
BB16Inner,D03,303,Inner,BB16,BB16,Wood
BBGT1Inner,D04,39,Inner,BBGT1,BBGT1,Wood
PB5Inner,D05,2133,Inner,PB5,PB5,Wood
AB3slash5Inner,D06,3,Inner,AB3slash5,AB3/5,Wood
ABT14PInner,D07,936,Inner,ABT14P,ABT14P,Wood
None,D08,NA,None,NA,NA,Wood
MLGPInner,D09,193,Inner,MLGP,MLGP,Wood
WP402Inner,D10,1,Inner,WP402,WP402,Wood
WPX2Inner,D11,14,Inner,WPX2,WPX2,Wood
None,D12,NA,None,NA,NA,Wood
YB15Inner,E01,920,Inner,YB15,YB15,Wood
BB1Inner,E02,372,Inner,BB1,BB1,Wood
BB16primeInner,E03,930,Inner,BB16prime,BB16',Wood
BBX1Inner,E04,346,Inner,BBX1,BBX1,Wood
PB501Inner,E05,61,Inner,PB501,PB501,Wood
AB4Inner,E06,1,Inner,AB4,AB4,Wood
WA1Inner,E07,213,Inner,WA1,WA1,Wood
WA12Inner,E08,5,Inner,WA12,WA12,Wood
WP101Inner,E09,2,Inner,WP101,WP101,Wood
WP403Inner,E10,56,Inner,WP403,WP403,Wood
WPX22Inner,E11,4,Inner,WPX22,WPX22,Wood
RO1Inner,E12,3,Inner,RO1,RO1,Wood
None,F01,NA,None,NA,NA,Wood
BB10Inner,F02,247,Inner,BB10,BB10,Wood
BB3Inner,F03,158,Inner,BB3,BB3,Wood
BBX6Inner,F04,2219,Inner,BBX6,BBX6,Wood
SH1Inner,F05,2,Inner,SH1,SH1,Wood
AB4slash6Inner,F06,1837,Inner,AB4slash6,AB4/6,Wood
WA10Inner,F07,47,Inner,WA10,WA10,Wood
WA14Inner96c,F08,5,er96c,WA14Inn,WA14,Wood
WP102Inner,F09,13,Inner,WP102,WP102,Wood
WP5Inner,F10,1439,Inner,WP5,WP5,Wood
WPX5Inner,F11,4,Inner,WPX5,WPX5,Wood
RO10Inner,F12,56,Inner,RO10,RO10,Wood
YB3Inner,G01,3,Inner,YB3,YB3,Wood
BB10primeInner,G02,10,Inner,BB10prime,BB10',Wood
BB5Inner,G03,10882,Inner,BB5,BB5,Wood
BBX7Inner,G04,560,Inner,BBX7,BBX7,Wood
AB1Inner,G05,1924,Inner,AB1,AB1,Wood
AB5Inner,G06,921,Inner,AB5,AB5,Wood
WA101Inner,G07,60,Inner,WA101,WA101,Wood
WA14Inner97c,G08,4,er97c,WA14Inn,WA14,Wood
WP103Inner,G09,3,Inner,WP103,WP103,Wood
WP6Inner,G10,2,Inner,WP6,WP6,Wood
None,G11,NA,None,NA,NA,Wood
RO101Inner,G12,3,Inner,RO101,RO101,Wood
YB4Inner,H01,14286,Inner,YB4,YB4,Wood
BB11Inner,H02,976,Inner,BB11,BB11,Wood
BB6Inner,H03,46,Inner,BB6,BB6,Wood
PB1Inner,H04,39,Inner,PB1,PB1,Wood
AB10Inner,H05,16,Inner,AB10,AB10,Wood
AB501Inner,H06,110,Inner,AB501,AB501,Wood
None,H07,NA,None,NA,NA,Wood
WA15Inner,H08,4,Inner,WA15,WA15,Wood
WP2Inner,H09,16,Inner,WP2,WP2,Wood
None,H10,NA,None,NA,NA,Wood
None,H11,NA,None,NA,NA,Wood
None,H12,NA,None,NA,NA,Wood
RO103Inner,A01,18,Inner,RO103,RO103,Wood
RO8Inner,A02,12,Inner,RO8,RO8,Wood
H2Inner,A03,129,Inner,H2,H2,Wood
None,A04,NA,None,NA,NA,Wood
None,A05,NA,None,NA,NA,Wood
YB3Outer,A06,19,Outer,YB3,YB3,Wood
BB10primeOuter,A07,17,Outer,BB10prime,BB10',Wood
None,A08,NA,None,NA,NA,Wood
None,A09,NA,None,NA,NA,Wood
